"placeCode","placeName","stateCode","lat","lng","coverImage"
"BHIMTAL","Bhimtal, Uttarakhand","UTTARAKHAND",29.3518229,79.5519144,"https://www.holidify.com/images/bgImages/BHIMTAL.jpg"
"BHOPAL","Bhopal, Madhya Pradesh","MADHYA-PRADESH",23.2599333,77.412615,"https://www.holidify.com/images/bgImages/BHOPAL.jpg"
"BHOWALI","Bhowali, Uttarakhand","UTTARAKHAND",29.38,79.52,"https://www.holidify.com/images/bgImages/BHOWALI.jpg"
"BHUBANESWAR","Bhubaneswar, Orissa","ODISHA",20.2960587,85.8245398,"https://www.holidify.com/images/bgImages/BHUBANESWAR.jpg"
"BHUJ","Bhuj, Gujarat","GUJARAT",23.2419997,69.6669324,"https://www.holidify.com/images/bgImages/BHUJ.jpg"
"BHUNTAR","Bhuntar, Himachal Pradesh","HIMACHAL-PRADESH",31.8848538,77.1513924,"https://www.holidify.com/images/bgImages/BHUNTAR.jpg"
"BIDAR","Bidar, Karnataka","KARNATAKA",17.92,77.5197,"https://www.holidify.com/images/bgImages/BIDAR.jpg"
"BIJAPUR","Bijapur, Karnataka","KARNATAKA",16.82402,75.71534,"https://www.holidify.com/images/bgImages/BIJAPUR.jpg"
"BIKANER","Bikaner, Rajasthan","RAJASTHAN",28.01989,73.317551,"https://www.holidify.com/images/bgImages/BIKANER.jpg"
"BILASPUR","Bilaspur (HP), Himachal Pradesh","HIMACHAL-PRADESH",31.3454488,76.7596221,"https://www.holidify.com/images/bgImages/BILASPUR.jpg"
"BINSAR","Binsar, Uttarakhand","UTTARAKHAND",29.7047157,79.7189541,"https://www.holidify.com/images/bgImages/BINSAR.jpg"
"BIR","Bir Billing, Himachal Pradesh","HIMACHAL-PRADESH",32.0363889,76.7138889,"https://www.holidify.com/images/bgImages/BIR.jpg"
"BISHNUPUR","Bishnupur, West Bengal","WEST-BENGAL",23.079729,87.328537,"https://www.holidify.com/images/bgImages/BISHNUPUR.jpg"
"BODH-GAYA","Bodh Gaya, Bihar","BIHAR",24.695102,84.991275,"https://www.holidify.com/images/bgImages/BODH-GAYA.jpg"
"BOKARO-STEEL-CITY","Bokaro Steel City, Jharkhand","JHARKHAND",23.67,86.15,"https://www.holidify.com/images/bgImages/BOKARO-STEEL-CITY.jpg"
"BOMDILA","Bomdila, Arunachal Pradesh","ARUNACHAL-PRADESH",27.260639,92.420227,"https://www.holidify.com/images/bgImages/BOMDILA.jpg"
"BONGAIGAON","Bongaigaon, Assam","ASSAM",26.48,90.56,"https://www.holidify.com/images/bgImages/BONGAIGAON.jpg"
"BR-HILLS","BR Hills, Karnataka","KARNATAKA",11.9956324,77.142764,"https://www.holidify.com/images/bgImages/BR-HILLS.jpg"
"BUNDI","Bundi, Rajasthan","RAJASTHAN",25.4305144,75.6499025,"https://www.holidify.com/images/bgImages/BUNDI.jpg"
"BURHANPUR","Burhanpur, Madhya Pradesh","MADHYA-PRADESH",21.3193875,76.2224273,"https://www.holidify.com/images/bgImages/BURHANPUR.jpg"
"CHAIL","Chail, Himachal Pradesh","HIMACHAL-PRADESH",30.9697222,77.1975,"https://www.holidify.com/images/bgImages/CHAIL.jpg"
"CHAKRATA","Chakrata, Uttarakhand","UTTARAKHAND",30.7016208,77.8695996,"https://www.holidify.com/images/bgImages/CHAKRATA.jpg"
"CHAMBA","Chamba, Himachal Pradesh","HIMACHAL-PRADESH",32.5533633,76.1258083,"https://www.holidify.com/images/bgImages/CHAMBA.jpg"
"CHAMBA-UTTARAKHAND","Chamba (Uttarakhand)","UTTARAKHAND",30.3454803,78.394656,"https://www.holidify.com/images/bgImages/CHAMBA-UTTARAKHAND.jpg"
"CHAMOLI","Chamoli, Uttarakhand","UTTARAKHAND",30.4041045,79.3317691,"https://www.holidify.com/images/bgImages/CHAMOLI.jpg"
"CHAMPANER-PAVAGADH","Champaner-Pavagadh, Gujarat","GUJARAT",22.4846248,73.5324097,"https://www.holidify.com/images/bgImages/CHAMPANER-PAVAGADH.jpg"
"CHAMPAWAT","Champawat, Uttarakhand","UTTARAKHAND",29.3360974,80.0910275,"https://www.holidify.com/images/bgImages/CHAMPAWAT.jpg"
"CHAMPHAI","Champhai, Mizoram","MIZORAM",23.4565708,93.3281929,"https://www.holidify.com/images/bgImages/CHAMPHAI.jpg"
"CHANDANNAGAR","Chandannagar, West Bengal","WEST-BENGAL",22.8647723,88.36326,"https://www.holidify.com/images/bgImages/CHANDANNAGAR.jpg"
"CHANDEL","Chandel, Manipur","MANIPUR",24.328989,93.986769,"https://www.holidify.com/images/bgImages/CHANDEL.jpg"
"CHANDIGARH","Chandigarh, Punjab","UNION-TERRITORY",30.7333148,76.7794179,"https://www.holidify.com/images/bgImages/CHANDIGARH.jpg"
